Class,Date,Id,Name,TagBased,UserId
3,2010-08-25T19:26:49.423,1,Autobiographer,False,2
3,2010-08-25T19:26:49.440,2,Autobiographer,False,3
3,2010-08-25T19:26:49.457,3,Autobiographer,False,4
3,2010-08-25T19:41:49.283,4,Autobiographer,False,6
3,2010-08-25T19:41:49.283,5,Autobiographer,False,7
3,2010-08-25T19:41:49.283,6,Autobiographer,False,8
3,2010-08-25T19:41:49.283,7,Autobiographer,False,9
3,2010-08-25T19:41:49.283,8,Autobiographer,False,14
3,2010-08-25T19:41:49.300,9,Autobiographer,False,15
3,2010-08-25T19:41:49.300,10,Autobiographer,False,16
3,2010-08-25T19:41:49.300,11,Autobiographer,False,17
3,2010-08-25T19:41:49.300,12,Autobiographer,False,18
3,2010-08-25T19:41:49.317,13,Autobiographer,False,19
3,2010-08-25T19:46:49.227,14,Student,False,7
3,2010-08-25T19:46:49.307,15,Student,False,10
3,2010-08-25T19:46:49.337,16,Student,False,17
3,2010-08-25T19:46:49.400,17,Supporter,False,7
3,2010-08-25T19:46:49.400,18,Supporter,False,8
3,2010-08-25T19:46:49.417,19,Supporter,False,17
3,2010-08-25T19:46:49.417,20,Supporter,False,19
3,2010-08-25T19:46:49.463,21,Autobiographer,False,21
3,2010-08-25T19:46:49.477,22,Autobiographer,False,24
3,2010-08-25T19:46:49.477,23,Autobiographer,False,25
3,2010-08-25T19:46:49.493,24,Autobiographer,False,26
3,2010-08-25T19:46:49.510,25,Autobiographer,False,27
3,2010-08-25T19:46:49.523,26,Autobiographer,False,28
3,2010-08-25T19:46:49.540,27,Autobiographer,False,29
3,2010-08-25T19:51:49.187,28,Teacher,False,19
3,2010-08-25T19:51:49.327,29,Teacher,False,24
3,2010-08-25T19:51:49.373,30,Student,False,13
3,2010-08-25T19:51:49.437,31,Student,False,14
3,2010-08-25T19:51:49.483,32,Supporter,False,6
3,2010-08-25T19:51:49.500,33,Autobiographer,False,30
3,2010-08-25T19:51:49.513,34,Autobiographer,False,31
3,2010-08-25T19:51:49.513,35,Autobiographer,False,33
3,2010-08-25T19:51:49.513,36,Autobiographer,False,35
3,2010-08-25T19:56:49.207,37,Teacher,False,11
3,2010-08-25T19:56:49.240,38,Teacher,False,32
3,2010-08-25T19:56:49.287,39,Student,False,29
3,2010-08-25T19:56:49.317,40,Supporter,False,21
3,2010-08-25T19:56:49.317,41,Supporter,False,38
3,2010-08-25T19:56:49.333,42,Autobiographer,False,38
3,2010-08-25T20:01:49.150,43,Teacher,False,30
3,2010-08-25T20:01:49.290,44,Teacher,False,38
3,2010-08-25T20:01:49.323,45,Student,False,8
3,2010-08-25T20:01:49.353,46,Student,False,28
3,2010-08-25T20:01:49.370,47,Student,False,34
3,2010-08-25T20:01:49.400,48,Student,False,35
3,2010-08-25T20:01:49.463,49,Supporter,False,10
3,2010-08-25T20:01:49.463,50,Supporter,False,27
3,2010-08-25T20:01:49.480,51,Supporter,False,28
3,2010-08-25T20:01:49.480,52,Supporter,False,40
3,2010-08-25T20:01:49.510,53,Autobiographer,False,39
3,2010-08-25T20:01:49.510,54,Autobiographer,False,40
3,2010-08-25T20:01:49.527,55,Scholar,False,10
3,2010-08-25T20:06:49.187,56,Teacher,False,23
3,2010-08-25T20:06:49.313,57,Teacher,False,39
3,2010-08-25T20:06:49.343,58,Student,False,6
3,2010-08-25T20:06:49.373,59,Organizer,False,27
3,2010-08-25T20:06:49.407,60,Supporter,False,35
3,2010-08-25T20:06:49.420,61,Supporter,False,36
3,2010-08-25T20:06:49.420,62,Supporter,False,46
3,2010-08-25T20:06:49.437,63,Autobiographer,False,43
3,2010-08-25T20:06:49.437,64,Autobiographer,False,45
